Date,Price,Open,High,Low,Vol.,Change %
12/13/2015,"1,066.19","1,073.78","1,078.59","1,047.63",,-0.81%
12/06/2015,"1,074.89","1,085.99","1,086.98","1,062.38",,-1.11%
11/29/2015,"1,086.99","1,057.79","1,089.09","1,046.24",,2.66%
11/22/2015,"1,058.81","1,077.01","1,080.91","1,052.86",,-1.79%
11/15/2015,"1,078.10","1,088.14","1,098.29","1,065.34",,-0.51%
11/08/2015,"1,083.64","1,089.94","1,095.88","1,074.64",,-0.46%
11/01/2015,"1,088.64","1,141.47","1,142.99","1,085.29",,-4.70%
10/25/2015,"1,142.38","1,164.42","1,182.88","1,139.48",,-1.88%
10/18/2015,"1,164.26","1,176.24","1,180.70","1,159.16",,-1.10%
10/11/2015,"1,177.20","1,155.61","1,190.93","1,151.46",,1.70%
10/04/2015,"1,157.53","1,137.96","1,160.20","1,129.98",,1.70%
09/27/2015,"1,138.14","1,145.80","1,148.30","1,104.52",,-0.71%
09/20/2015,"1,146.24","1,139.59","1,156.68","1,121.37",,0.60%
09/13/2015,"1,139.40","1,107.80","1,141.90","1,102.91",,2.84%
09/06/2015,"1,107.90","1,123.25","1,126.80","1,098.75",,-1.34%
08/30/2015,"1,123.00","1,133.25","1,147.56","1,117.15",,-0.97%
08/23/2015,"1,133.96","1,162.35","1,167.90","1,117.75",,-2.33%
08/16/2015,"1,161.05","1,114.35","1,168.80","1,109.55",,4.21%
08/09/2015,"1,114.11","1,094.40","1,126.71","1,089.81",,1.82%
08/02/2015,"1,094.20","1,095.26","1,099.90","1,081.00",,-0.13%
07/26/2015,"1,095.65","1,099.40","1,105.15","1,079.75",,-0.31%
07/19/2015,"1,099.10","1,133.70","1,133.70","1,077.75",,-3.09%
07/12/2015,"1,134.10","1,163.40","1,164.70","1,131.20",,-2.57%
07/05/2015,"1,163.96","1,173.20","1,175.10","1,147.15",,-0.34%
06/28/2015,"1,167.94","1,185.06","1,187.41","1,157.35",,-0.61%
06/21/2015,"1,175.07","1,200.35","1,201.24","1,168.74",,-2.12%
06/14/2015,"1,200.51","1,181.75","1,206.25","1,173.27",,1.67%
06/07/2015,"1,180.80","1,169.45","1,192.60","1,169.20",,0.75%
05/31/2015,"1,172.00","1,191.25","1,205.06","1,163.10",,-1.55%
05/24/2015,"1,190.50","1,205.50","1,209.35","1,181.30",,-1.32%
05/17/2015,"1,206.38","1,223.30","1,232.70","1,201.70",,-1.43%
05/10/2015,"1,223.85","1,189.20","1,227.79","1,179.75",,3.00%
05/03/2015,"1,188.15","1,179.00","1,200.10","1,177.93",,0.82%
04/26/2015,"1,178.50","1,179.71","1,215.40","1,170.60",,-0.07%
04/19/2015,"1,179.38","1,205.01","1,209.51","1,175.24",,-2.10%
04/12/2015,"1,204.65","1,207.30","1,209.75","1,184.18",,-0.28%
04/05/2015,"1,208.05","1,215.63","1,224.50","1,192.70",,-0.24%
03/29/2015,"1,210.90","1,199.10","1,212.74","1,178.80",,0.97%
03/22/2015,"1,199.30","1,185.86","1,219.90","1,179.35",,1.41%
03/15/2015,"1,182.68","1,158.24","1,188.30","1,143.36",,2.00%
03/08/2015,"1,159.48","1,168.65","1,176.15","1,147.85",,-0.66%
03/01/2015,"1,167.21","1,213.89","1,223.69","1,163.94",,-3.79%
02/22/2015,"1,213.15","1,201.99","1,220.60","1,191.51",,0.89%
02/15/2015,"1,202.39","1,228.68","1,236.99","1,198.05",,-2.22%
02/08/2015,"1,229.70","1,234.93","1,246.30","1,216.95",,-0.33%
02/01/2015,"1,233.72","1,281.56","1,285.60","1,228.75",,-3.88%
01/25/2015,"1,283.55","1,294.04","1,299.51","1,252.61",,-0.85%
01/18/2015,"1,294.55","1,279.70","1,306.60","1,272.25",,1.11%
01/11/2015,"1,280.30","1,223.11","1,281.99","1,218.66",,4.65%
01/04/2015,"1,223.40","1,189.34","1,224.00","1,183.45",,2.88%
12/28/2014,"1,189.18","1,195.83","1,210.40","1,168.75",,-0.52%
12/21/2014,"1,195.40","1,195.69","1,202.55","1,170.92",,-0.05%
12/14/2014,"1,195.95","1,222.47","1,224.46","1,184.33",,-2.18%
12/07/2014,"1,222.60","1,193.08","1,238.59","1,187.30",,2.56%
11/30/2014,"1,192.05","1,166.99","1,221.39","1,143.32",,2.12%
11/23/2014,"1,167.35","1,201.54","1,204.25","1,165.35",,-2.83%
11/16/2014,"1,201.40","1,188.75","1,208.01","1,175.81",,1.11%
11/09/2014,"1,188.25","1,179.34","1,193.74","1,146.32",,0.99%
11/02/2014,"1,176.65","1,173.69","1,178.99","1,132.25",,0.19%
10/26/2014,"1,174.42","1,231.74","1,235.61","1,161.75",,-4.63%
10/19/2014,"1,231.46","1,238.54","1,255.70","1,226.67",,-0.54%
10/12/2014,"1,238.19","1,223.69","1,249.80","1,222.17",,1.20%
10/05/2014,"1,223.48","1,191.79","1,233.70","1,183.96",,2.71%
09/28/2014,"1,191.20","1,219.44","1,224.00","1,190.14",,-2.32%
09/21/2014,"1,219.51","1,216.68","1,235.30","1,207.35",,0.25%
09/14/2014,"1,216.45","1,228.40","1,242.16","1,213.87",,-0.99%
09/07/2014,"1,228.63","1,268.99","1,272.09","1,227.75",,-3.17%
08/31/2014,"1,268.85","1,287.05","1,290.36","1,257.16",,-1.45%
08/24/2014,"1,287.57","1,279.91","1,297.00","1,274.66",,0.49%
08/17/2014,"1,281.23","1,304.04","1,304.20","1,273.46",,-1.79%
08/10/2014,"1,304.60","1,309.30","1,319.31","1,292.61",,-0.38%
08/03/2014,"1,309.60","1,293.93","1,322.86","1,282.56",,1.20%
07/27/2014,"1,294.10","1,308.49","1,312.60","1,280.90",,-1.07%
07/20/2014,"1,308.05","1,311.00","1,318.46","1,287.72",,-0.22%
07/13/2014,"1,310.90","1,338.45","1,339.71","1,292.01",,-2.04%
07/06/2014,"1,338.15","1,320.16","1,345.31","1,311.90",,1.33%
06/29/2014,"1,320.55","1,315.99","1,332.60","1,310.14",,0.40%
06/22/2014,"1,315.35","1,313.70","1,326.21","1,306.21",,0.04%
06/15/2014,"1,314.82","1,277.25","1,322.40","1,259.35",,2.96%
06/08/2014,"1,277.00","1,253.79","1,278.20","1,250.40",,1.94%
06/01/2014,"1,252.73","1,251.04","1,258.00","1,241.11",,0.13%
05/25/2014,"1,251.05","1,292.76","1,294.46","1,242.35",,-3.25%
05/18/2014,"1,293.11","1,293.57","1,305.40","1,283.50",,-0.05%
05/11/2014,"1,293.70","1,289.31","1,309.41","1,280.21",,0.34%
05/04/2014,"1,289.33","1,300.89","1,316.10","1,285.64",,-0.85%
04/27/2014,"1,300.32","1,303.20","1,306.61","1,277.10",,-0.24%
04/20/2014,"1,303.45","1,294.67","1,305.61","1,268.85",,0.75%
04/13/2014,"1,293.78","1,318.77","1,331.03","1,290.46",,-1.87%
04/06/2014,"1,318.47","1,302.79","1,324.90","1,295.69",,1.21%
03/30/2014,"1,302.70","1,294.28","1,307.09","1,277.88",,0.67%
03/23/2014,"1,294.00","1,334.74","1,334.86","1,285.84",,-3.04%
03/16/2014,"1,334.55","1,382.07","1,392.37","1,320.85",,-3.45%
03/09/2014,"1,382.24","1,339.16","1,388.40","1,329.36",,3.13%
03/02/2014,"1,340.25","1,326.29","1,355.20","1,326.29",,1.04%
02/23/2014,"1,326.40","1,325.20","1,345.96","1,319.32",,0.23%
