Date,Price,Open,High,Low,Vol.,Change %
02/19/2012,"1,773.49","1,723.88","1,787.71","1,723.78",,2.96%
02/12/2012,"1,722.45","1,725.24","1,737.61","1,705.64",,0.15%
02/05/2012,"1,719.85","1,726.25","1,751.86","1,704.14",,-0.32%
01/29/2012,"1,725.30","1,738.41","1,763.76","1,717.05",,-0.78%
01/22/2012,"1,738.89","1,666.68","1,738.91","1,649.20",,4.32%
01/15/2012,"1,666.90","1,639.68","1,670.25","1,631.44",,1.68%
01/08/2012,"1,639.35","1,617.14","1,662.57","1,605.30",,1.39%
01/01/2012,"1,616.85","1,566.20","1,630.56","1,564.96",,3.36%
12/25/2011,"1,564.30","1,607.15","1,611.79","1,522.44",,-2.63%
12/18/2011,"1,606.60","1,599.61","1,642.36","1,583.70",,0.54%
12/11/2011,"1,597.95","1,711.24","1,714.64","1,560.82",,-6.61%
12/04/2011,"1,711.10","1,745.90","1,755.05","1,702.69",,-1.96%
11/27/2011,"1,745.25","1,681.06","1,762.61","1,681.06",,3.88%
11/20/2011,"1,680.13","1,723.14","1,726.49","1,666.38",,-2.49%
11/13/2011,"1,723.05","1,788.34","1,796.36","1,710.34",,-3.69%
11/06/2011,"1,788.99","1,753.86","1,803.11","1,736.20",,1.99%
10/30/2011,"1,754.15","1,743.01","1,768.26","1,682.60",,0.64%
10/23/2011,"1,742.95","1,642.35","1,752.85","1,635.96",,6.21%
10/16/2011,"1,641.02","1,682.29","1,695.10","1,603.99",,-2.32%
10/09/2011,"1,679.95","1,654.50","1,692.46","1,638.45",,2.47%
10/02/2011,"1,639.45","1,618.35","1,678.86","1,596.00",,0.97%
09/25/2011,"1,623.75","1,657.29","1,677.19","1,534.99",,-1.98%
09/18/2011,"1,656.59","1,818.69","1,828.65","1,629.99",,-8.57%
09/11/2011,"1,811.95","1,858.27","1,862.21","1,763.05",,-2.47%
09/04/2011,"1,857.81","1,876.99","1,920.80","1,793.69",,-1.40%
08/28/2011,"1,884.20","1,836.99","1,884.90","1,775.79",,3.04%
08/21/2011,"1,828.55","1,859.39","1,911.96","1,702.94",,-1.29%
08/14/2011,"1,852.45","1,746.25","1,877.50","1,728.01",,6.06%
08/07/2011,"1,746.60","1,662.86","1,814.40","1,662.78",,4.90%
07/31/2011,"1,665.00","1,626.64","1,682.17","1,608.19",,2.36%
07/24/2011,"1,626.64","1,599.28","1,632.80","1,599.28",,1.71%
07/17/2011,"1,599.25","1,595.45","1,611.51","1,583.00",,0.32%
07/10/2011,"1,594.10","1,545.55","1,596.16","1,542.30",,3.23%
07/03/2011,"1,544.25","1,488.09","1,547.30","1,487.50",,3.88%
06/26/2011,"1,486.50","1,500.50","1,515.71","1,480.01",,-1.04%
06/19/2011,"1,502.15","1,540.40","1,559.75","1,500.41",,-2.43%
06/12/2011,"1,539.50","1,530.50","1,542.15","1,511.61",,0.50%
06/05/2011,"1,531.90","1,544.59","1,555.30","1,527.74",,-0.69%
05/29/2011,"1,542.50","1,538.74","1,552.14","1,521.60",,0.38%
05/22/2011,"1,536.65","1,514.10","1,540.10","1,505.55",,1.53%
05/15/2011,"1,513.55","1,495.25","1,517.55","1,473.50",,1.27%
05/08/2011,"1,494.55","1,493.18","1,526.82","1,479.32",,-0.05%
05/01/2011,"1,495.25","1,567.79","1,576.29","1,462.90",,-4.49%
