"Date","Price","Open","High","Low","Vol.","Change.."
2019-11-17,1462.04,"1,467.66","1,479.15","1,456.26","","-0.35%"
2019-11-24,1463.9,"1,462.29","1,466.81","1,450.63","","0.13%"
2019-12-01,1459.51,"1,467.03","1,484.55","1,453.91","","-0.30%"
2019-12-08,1475.56,"1,459.49","1,486.95","1,458.76","","1.10%"
2019-12-15,1477.95,"1,475.60","1,481.97","1,470.32","","0.16%"
2019-12-22,1510.42,"1,478.20","1,515.47","1,477.51","","2.20%"
2019-12-29,1551.4,"1,511.80","1,553.70","1,510.43","","2.71%"
2020-01-05,1562.03,"1,561.15","1,611.15","1,540.18","","0.69%"
2020-01-12,1556.22,"1,562.29","1,562.30","1,536.12","","-0.37%"
2020-01-19,1570.36,"1,558.65","1,576.01","1,546.41","","0.91%"
2020-01-26,1589.81,"1,580.10","1,590.21","1,563.21","","1.24%"
2020-02-02,1569.91,"1,590.20","1,591.84","1,547.40","","-1.25%"
2020-02-09,1584.32,"1,570.29","1,585.05","1,561.80","","0.92%"
2020-02-16,1643.32,"1,584.70","1,649.15","1,578.60","","3.72%"
2020-02-23,1584.74,"1,659.05","1,689.11","1,565.86","","-3.56%"
2020-03-01,1673.85,"1,591.10","1,692.10","1,579.70","","5.62%"
2020-03-08,1529.31,"1,694.40","1,702.96","1,506.86","","-8.64%"
2020-03-15,1497.64,"1,550.55","1,573.49","1,451.50","","-2.07%"
2020-03-22,1617.5,"1,508.15","1,647.28","1,485.10","","8.00%"
2020-03-29,1616.45,"1,622.00","1,639.61","1,565.74","","-0.06%"
2020-04-05,1688.9,"1,597.50","1,697.50","1,597.50","","4.48%"
2020-04-12,1684.19,"1,685.69","1,747.85","1,674.87","","-0.28%"
2020-04-19,1727.43,"1,692.25","1,739.74","1,661.39","","2.57%"
2020-04-26,1699.12,"1,726.15","1,727.93","1,670.06","","-1.64%"
2020-05-03,1700.65,"1,699.00","1,723.91","1,682.28","","0.09%"
2020-05-10,1741,"1,702.65","1,752.13","1,691.59","","2.37%"
2020-05-17,1734.07,"1,743.01","1,765.94","1,717.10","","-0.40%"
2020-05-24,1726.3,"1,734.61","1,737.71","1,693.82","","-0.45%"
2020-05-31,1685.23,"1,738.05","1,745.26","1,670.74","","-2.38%"
2020-06-07,1729.77,"1,684.65","1,744.92","1,677.52","","2.64%"
2020-06-14,1742.84,"1,732.32","1,745.36","1,704.31","","0.76%"
2020-06-21,1770.62,"1,748.78","1,779.61","1,743.27","","1.59%"
2020-06-28,1774.79,"1,773.74","1,789.48","1,757.68","","0.24%"
2020-07-05,1798.31,"1,776.31","1,818.13","1,770.13","","1.33%"
2020-07-12,1808.9,"1,799.01","1,814.79","1,791.46","","0.59%"
2020-07-19,1900.97,"1,809.58","1,906.54","1,805.60","","5.09%"
2020-07-26,1974.69,"1,899.99","1,981.22","1,899.73","","3.88%"
2020-08-02,2034.62,"1,980.98","2,073.41","1,960.40","","3.04%"
2020-08-09,1943.76,"2,034.19","2,050.01","1,864.30","","-4.47%"
2020-08-16,1939.4,"1,947.04","2,015.45","1,911.65","","-0.22%"
2020-08-23,1964.49,"1,939.24","1,976.60","1,902.77","","1.29%"
2020-08-30,1932.45,"1,965.40","1,992.38","1,916.67","","-1.63%"
2020-09-06,1941.5,"1,931.24","1,966.50","1,906.67","","0.47%"
2020-09-13,1949.69,"1,941.05","1,973.63","1,932.99","","0.42%"
2020-09-20,1860.05,"1,949.55","1,955.75","1,848.45","","-4.60%"
2020-09-27,1898.7,"1,859.00","1,917.28","1,849.19","","2.08%"
2020-10-04,1929.43,"1,902.24","1,930.83","1,873.05","","1.62%"
2020-10-11,1898.97,"1,930.50","1,933.45","1,882.44","","-1.58%"
2020-10-18,1900.79,"1,899.94","1,931.41","1,894.54","","0.10%"
2020-10-25,1877.95,"1,902.34","1,911.34","1,859.67","","-1.20%"
2020-11-01,1951.51,"1,878.59","1,960.77","1,873.21","","3.92%"
2020-11-08,1888.04,"1,954.65","1,965.92","1,850.36","","-3.25%"
2020-11-15,1870.49,"1,888.74","1,899.35","1,852.48","","-0.93%"
2020-11-22,1788.13,"1,869.84","1,876.72","1,773.93","","-4.40%"
2020-11-29,1837.61,"1,789.05","1,848.26","1,764.69","","2.77%"
2020-12-06,1839.03,"1,837.99","1,875.79","1,822.99","","0.08%"
2020-12-13,1880.66,"1,839.30","1,896.26","1,819.92","","2.26%"
2020-12-20,1875.82,"1,883.20","1,906.93","1,856.69","","-0.26%"
2020-12-27,1898.1,"1,885.93","1,901.26","1,869.21","","1.19%"
2021-01-03,1848.26,"1,906.05","1,959.60","1,828.74","","-2.63%"
2021-01-10,1826.59,"1,849.34","1,864.08","1,817.14","","-1.17%"
2021-01-17,1852.55,"1,828.94","1,875.45","1,810.46","","1.42%"
2021-01-24,1846.09,"1,855.75","1,876.03","1,831.29","","-0.35%"
2021-01-31,1811.62,"1,863.05","1,871.84","1,785.15","","-1.87%"
2021-02-07,1823.46,"1,815.44","1,855.70","1,807.48","","0.65%"
2021-02-14,1782.31,"1,825.34","1,827.59","1,760.13","","-2.26%"
2021-02-21,1733.49,"1,782.24","1,816.27","1,717.26","","-2.74%"
2021-02-28,1700.86,"1,733.40","1,760.02","1,687.12","","-1.88%"
2021-03-07,1726.41,"1,702.80","1,739.99","1,676.70","","1.50%"
2021-03-14,1744.74,"1,727.74","1,755.59","1,719.05","","1.06%"
2021-03-21,1731.97,"1,745.74","1,747.18","1,721.23","","-0.73%"
2021-03-28,1728.84,"1,732.15","1,733.40","1,677.93","","-0.18%"
2021-04-04,1743.1,"1,728.74","1,759.13","1,721.22","","0.82%"
2021-04-11,1776.31,"1,743.80","1,784.07","1,723.27","","1.91%"
2021-04-18,1777.18,"1,779.50","1,798.29","1,763.18","","0.05%"
2021-04-25,1768.59,"1,776.34","1,790.43","1,756.19","","-0.48%"
2021-05-02,1830.48,"1,768.49","1,843.45","1,765.91","","3.50%"
2021-05-09,1842.19,"1,833.24","1,845.58","1,808.78","","0.64%"
2021-05-16,1880.3,"1,843.84","1,890.18","1,841.24","","2.07%"
2021-05-23,1902.64,"1,882.34","1,913.15","1,872.73","","1.19%"
2021-05-30,1889.97,"1,903.69","1,916.84","1,856.09","","-0.67%"
2021-06-06,1876.64,"1,888.49","1,903.95","1,869.84","","-0.71%"
2021-06-13,1763.34,"1,874.59","1,878.21","1,761.04","","-6.04%"
2021-06-20,1780.34,"1,764.44","1,795.18","1,764.44","","0.96%"
2021-06-27,1786.79,"1,781.24","1,795.40","1,750.11","","0.36%"
2021-07-04,1807.98,"1,787.69","1,818.70","1,784.09","","1.19%"
2021-07-11,1810.89,"1,807.94","1,833.99","1,791.21","","0.16%"
2021-07-18,1801.34,"1,811.65","1,825.27","1,790.45","","-0.53%"
2021-07-25,1813.58,"1,802.65","1,833.05","1,792.60","","0.68%"
